Date,Close,Volume,Open,High,Low,12 EMA,26 EMA,MACD,9 EMA MACD,Histogram
09/29/2023,171.21,51861080,172.02,173.07,170.341,174.0490737,176.8303948,-2.781321093,-2.269927259,-0.511393834
10/02/2023,173.75,52164540,171.22,174.3,170.93,174.0030623,176.6022174,-2.599155038,-2.335772815,-0.263382223
10/03/2023,172.4,49594610,172.255,173.63,170.82,173.7564374,176.290942,-2.534504652,-2.375519182,-0.15898547
10/04/2023,173.66,53020290,171.09,174.21,170.97,173.7416008,176.0960574,-2.354456576,-2.371306661,0.016850085
10/05/2023,174.91,48527920,173.79,175.45,172.68,173.9213546,176.0082013,-2.086846754,-2.31441468,0.227567925
10/06/2023,177.49,57266680,173.8,177.99,173.18,174.4703769,176.1179642,-1.647587245,-2.181049193,0.533461948
10/09/2023,178.99,42390770,176.81,179.05,175.8,175.1657036,176.3307076,-1.165004014,-1.977840157,0.812836143
10/10/2023,178.39,43698020,178.1,179.72,177.95,175.6617492,176.4832478,-0.821498588,-1.746571843,0.925073255
10/11/2023,179.8,47551100,178.2,179.85,177.6,176.2984031,176.7289331,-0.430529965,-1.483363467,1.052833502
10/12/2023,180.71,56743120,180.07,182.34,179.04,176.9771104,177.023827,-0.0467166,-1.196034094,1.149317494
10/13/2023,178.85,51456080,181.42,181.93,178.14,177.2652472,177.159099,0.106148191,-0.935597637,1.041745828
10/16/2023,178.72,52516980,176.75,179.075,176.51,177.4890553,177.2747213,0.214334017,-0.705611306,0.919945323
10/17/2023,177.15,57549350,176.645,178.42,174.8,177.436893,177.2654827,0.171410274,-0.53020699,0.701617264
10/18/2023,175.84,54764380,175.58,177.575,175.11,177.1912171,177.1598914,0.031325742,-0.417900444,0.449226186
10/19/2023,175.46,59302860,176.04,177.84,175.19,176.924876,177.0339735,-0.109097475,-0.35613985,0.247042375
10/20/2023,172.88,64244030,175.31,175.42,172.64,176.3025874,176.7262718,-0.423684355,-0.369648751,-0.054035604
10/23/2023,173,55980110,170.91,174.01,169.93,175.794497,176.4502516,-0.655754595,-0.42686992,-0.228884675
10/24/2023,173.44,43816640,173.05,173.67,171.45,175.4322667,176.22727,-0.795003307,-0.500496597,-0.29450671
10/25/2023,171.1,57156960,171.88,173.06,170.65,174.7657642,175.8474723,-1.0817081,-0.616738898,-0.464969203
10/26/2023,166.89,70625260,170.37,171.3775,165.67,173.5541081,175.1839558,-1.629847661,-0.81936065,-0.810487011
10/27/2023,168.22,58499130,166.91,168.96,166.83,172.7334761,174.6681072,-1.934631104,-1.042414741,-0.892216363
10/30/2023,170.29,51130960,169.02,171.17,168.87,172.3575567,174.343803,-1.986246268,-1.231181047,-0.755065221
10/31/2023,170.77,44846020,169.35,170.9,167.9,172.1133172,174.0790768,-1.965759615,-1.37809676,-0.587662855
11/01/2023,173.97,56934910,171,174.23,170.12,172.3989607,174.0709971,-1.672036345,-1.436884677,-0.235151668
11/02/2023,177.57,77334750,175.52,177.78,175.46,173.1945052,174.3301825,-1.135677243,-1.37664319,0.240965947
11/03/2023,176.65,79829250,174.24,176.82,173.35,173.7261198,174.5020208,-0.775900998,-1.256494752,0.480593754
11/06/2023,179.23,63841310,176.38,179.43,176.21,174.5728706,174.8522415,-0.27937088,-1.061069977,0.781699097
