Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
30/03/2022,30.055,30.78,27.92,28.44,11089810,0.09,0.045,0.06635,0.05416
31/03/2022,28.56,28.905,26.25,26.42,10141450,0.013,0.04,0.06365,0.05418
01/04/2022,26.57,26.92,25.8,26.31,5939623,0.097,0.053,0.0649,0.05444
04/04/2022,26.49,27.83,25.83,27.81,6353638,0.051,0.055,0.05735,0.05458
05/04/2022,27.71,27.95,25.875,26.2,6889617,0.024,0.045,0.05635,0.05448
06/04/2022,25.57,25.85,24.25,24.91,10038570,-0.008,0.041,0.05335,0.05304
07/04/2022,24.67,25.21,22.8501,24.06,10194310,0.098,0.042,0.05585,0.0539
08/04/2022,24.4,24.5914,23.4,23.56,7830367,0.051,0.048,0.05805,0.05456
11/04/2022,23.01,24.6,22.53,24.18,6189172,0.086,0.052,0.0601,0.0555
13/04/2022,23.66,25.05,23.29,25.03,4851602,0.017,0.053,0.0584,0.05448
14/04/2022,24.82,26.5,23.1,23.87,15065440,0.028,0.058,0.0543,0.05454
18/04/2022,23.51,24.05,21.9,23.91,9825775,-0.077,0.035,0.04875,0.05388
19/04/2022,23.76,25.125,23.51,24.53,5757015,-0.007,0.024,0.0447,0.0518
20/04/2022,24.57,24.57,21.74,21.77,11514500,0.043,0.018,0.0405,0.05228
21/04/2022,22.02,22.3496,20.41,20.465,8686080,0.07,0.019,0.0399,0.05222
22/04/2022,20.72,20.88,19.66,20.39,10773340,0.012,0.019,0.038,0.05184
26/04/2022,20.19,20.47,18.905,19.02,8822413,0.098,0.011,0.0427,0.0533
28/04/2022,18.71,19.04,17.375,18.47,12648620,0.062,0.03,0.0431,0.05314
29/04/2022,18.84,19.93,17.53,17.56,11659940,0.057,0.04,0.04125,0.05274
02/05/2022,17.65,18.83,17.21,18.73,9323840,0.078,0.042,0.04415,0.05326
04/05/2022,18.27,18.86,16.78,18.71,13104540,0.087,0.083,0.044,0.05376
05/05/2022,18.53,18.53,16.67,17.01,10827490,0.049,0.076,0.0458,0.05346
10/05/2022,12.1,13.4794,11.25,12.9,63037680,0.028,0.045,0.04235,0.05258
11/05/2022,13.328,13.935,12.24,12.34,28635670,0.086,0.037,0.0441,0.05336
12/05/2022,12.05,14.14,11.8022,13.62,23504590,-0.018,0.022,0.042,0.05162
13/05/2022,13.89,15.9,13.82,15.87,23371300,-0.022,0.012,0.0413,0.0492
16/05/2022,15.56,16.16,15.26,15.48,16844100,0.047,0.027,0.03875,0.05094
17/05/2022,15.83,16.22,14.675,15.55,19239410,0.05,0.029,0.0387,0.05056
18/05/2022,15.24,15.92,14.315,14.42,11321160,0.065,0.034,0.03765,0.05074
19/05/2022,14.285,15.07,14.14,14.73,11288900,0.09,0.035,0.0413,0.0528
20/05/2022,14.96,15.04,13.6802,14.51,10296140,-0.002,0.037,0.0398,0.0516
23/05/2022,14.577,14.577,13.05,13.62,9707087,0.006,0.047,0.04395,0.05038
24/05/2022,13.47,13.47,12.335,12.52,10298330,0.113,0.056,0.04995,0.0512
26/05/2022,13.165,13.95,12.87,13.9,12969190,0.089,0.062,0.05225,0.04894
31/05/2022,14.46,14.74,13.77,13.96,11233770,0.121,0.07,0.0548,0.05048
01/06/2022,13.88,14.31,12.89,12.94,13768070,-0.209,0.027,0.04375,0.04526
02/06/2022,12.99,13.408,12.92,13.17,13431420,0.07,0.037,0.04235,0.0457
06/06/2022,12.65,12.87,12.29,12.48,9051057,0.064,0.021,0.04245,0.04684
07/06/2022,12.22,12.53,11.9,12.43,14529390,0.099,0.023,0.04455,0.04792
09/06/2022,12.07,12.1,11.095,11.12,15193370,0.056,0.054,0.04345,0.04802
15/06/2022,9.61,10.24,9.61,10.13,10847500,0,0.047,0.0391,0.04582
16/06/2022,9.75,9.97,9.29,9.45,10372650,-0.071,0.033,0.0331,0.04372
17/06/2022,9.43,9.92,9.37,9.74,9527374,-0.072,0.014,0.0281,0.0408
21/06/2022,9.89,10.33,9.68,9.7,9044704,0.085,0.011,0.02805,0.03996
23/06/2022,9.85,10.56,9.61,10.51,9816528,0.056,0.011,0.03175,0.03944
24/06/2022,10.52,11.02,10.39,11.01,18093180,-0.003,0.009,0.0327,0.03838
28/06/2022,10.7,10.94,9.82,9.86,7490453,0.067,0.032,0.0337,0.03964
29/06/2022,9.78,9.81,9.11,9.45,11346330,-0.031,0.018,0.02965,0.03794
30/06/2022,9.38,9.42,8.74,9.18,11784110,0.088,0.019,0.0308,0.03782
01/07/2022,9.12,9.46,8.88,9.13,9338515,0.057,0.019,0.02915,0.03856
05/07/2022,9.115,10.415,8.73,10.41,12556070,0.047,0.092,0.0316,0.0377
06/07/2022,10.31,10.635,10.055,10.15,8189812,0.094,0.088,0.036,0.03932
07/07/2022,10.17,10.705,10.0999,10.65,6899227,0.045,0.085,0.0326,0.03828
11/07/2022,10.06,10.11,8.91,8.92,11374580,-0.069,0.051,0.0247,0.03588
12/07/2022,9.37,9.5296,9.02,9.25,16359030,0.036,0.014,0.02045,0.03612
13/07/2022,8.935,9.19,8.66,8.93,14000240,0.063,0.016,0.03405,0.03754
14/07/2022,8.89,8.93,8.32,8.34,12778910,0.022,0.006,0.03165,0.03602
15/07/2022,8.435,8.6799,8.22,8.48,9637187,0.114,0.016,0.03415,0.03728
18/07/2022,8.75,9.14,8.5731,8.63,9571258,0.016,0.022,0.03,0.03588
19/07/2022,8.77,9.47,8.5,9.4,14258600,0.127,0.05,0.03355,0.03808
20/07/2022,9.45,11.04,9.38,11.03,26784960,-0.013,0.043,0.0329,0.03726
21/07/2022,10.81,11.4,10.7,11.26,13882650,0.067,0.043,0.0398,0.04014
22/07/2022,11.1,11.11,9.72,9.77,15741460,0.091,0.053,0.04795,0.0421
26/07/2022,9.31,9.31,8.59,8.71,10864530,0.108,0.066,0.0491,0.0434
27/07/2022,9,9.09,8.561,9,8816181,0.031,0.069,0.04785,0.04262
29/07/2022,9.24,9.55,8.88,9.49,8819457,0.078,0.062,0.0519,0.04394
01/08/2022,9.5,9.81,9.165,9.69,8974901,0.019,0.066,0.0495,0.04236
02/08/2022,9.63,10.95,9.56,10.72,13290550,0.022,0.06,0.05215,0.04156
03/08/2022,10.84,11.48,10.64,11.39,11918150,0.106,0.062,0.05305,0.04254
04/08/2022,11.31,11.49,10.45,10.5,11412180,0.16,0.075,0.0582,0.04418
09/08/2022,11.57,11.66,10.8801,11.09,9641501,-0.015,0.057,0.0551,0.04214
11/08/2022,12.24,13.565,11.73,11.91,16592960,0.007,0.059,0.05075,0.0413
12/08/2022,12.08,13.79,11.82,13.53,28058110,0.034,0.061,0.0502,0.04142
15/08/2022,13.34,13.77,12.69,13.53,16205610,0.03,0.084,0.05515,0.0403
16/08/2022,13.38,14.32,12.91,13.69,15441280,0.025,0.065,0.0546,0.04116
17/08/2022,13.315,13.6499,12.85,12.94,11485370,0.08,0.078,0.05545,0.0432
18/08/2022,12.86,12.86,12.29,12.66,11137540,0.055,0.07,0.0571,0.04336
19/08/2022,12.32,12.41,11.36,11.71,10943420,-0.07,0.059,0.0479,0.04096
22/08/2022,11.38,11.75,11.13,11.58,10048930,-0.004,0.036,0.0469,0.03958
24/08/2022,12.35,13.66,12.1601,13.48,83422140,0.069,0.042,0.044,0.03916
25/08/2022,11.68,11.86,10.655,11.01,59490220,0.048,0.038,0.04705,0.04016
26/08/2022,11.028,11.04,10.12,10.61,25524300,-0.005,0.029,0.04345,0.03994
29/08/2022,10.48,10.92,10.35,10.47,15778650,-0.042,0.03,0.0368,0.03684
30/08/2022,10.76,10.885,9.52,9.58,19154700,0.032,0.035,0.033,0.0357
31/08/2022,9.75,10.265,9.67,10.19,30546900,0.048,0.032,0.03385,0.03424
02/09/2022,10.31,10.47,9.4,9.44,16349200,-0.007,0.043,0.0296,0.03828
06/09/2022,9.36,9.39,8.68,8.69,13447130,0.126,0.062,0.03495,0.0394
09/09/2022,9.295,10.39,9.295,10.31,18726410,0.167,0.085,0.0422,0.04146
12/09/2022,10.26,11.08,10.2416,11.05,12914660,0.027,0.082,0.03825,0.04002
13/09/2022,10.45,10.45,9.48,9.91,23635150,0.038,0.069,0.03215,0.03966
15/09/2022,10.07,10.85,10,10.68,10391660,0.058,0.078,0.0358,0.04082
16/09/2022,10.4,10.4,9.71,9.74,14167190,0.011,0.059,0.036,0.04246
19/09/2022,9.71,9.99,9.59,9.92,6869733,0.033,0.053,0.03595,0.04456
20/09/2022,9.9,10.24,9.63,9.65,10417520,0.079,0.041,0.0384,0.04444
21/09/2022,9.85,9.9,9.05,9.05,12121330,0.09,0.05,0.04165,0.04512
22/09/2022,8.99,9.11,8.585,8.59,9724372,0.044,0.05,0.03985,0.04606
23/09/2022,8.46,8.69,8.28,8.51,10984820,0.058,0.05,0.04,0.04588
26/09/2022,8.5,8.845,8.06,8.22,12342480,-0.023,0.048,0.04235,0.04604
27/09/2022,8.32,8.79,8.0612,8.2,13653710,0.042,0.042,0.04465,0.04512
28/09/2022,8.22,8.42,8.03,8.24,9182458,0.09,0.042,0.0457,0.04578
29/09/2022,8.18,8.182,6.82,7.05,26183260,0.057,0.044,0.04615,0.04598
