Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
17/04/2023,29.23,30.04,28.88,29.99,5015659,0.126,0.131,0.1271,0.10094
20/04/2023,28.94,29.46,28.62,28.67,4165571,0.032,0.11,0.11495,0.10166
24/04/2023,28.57,28.8,27.75,28.34,3669917,0.08,0.103,0.118,0.10148
25/04/2023,28.03,28.03,26.98,26.98,5195717,0.079,0.093,0.11545,0.10056
27/04/2023,26.84,27.32,26.5,27.17,5772098,0.076,0.09,0.10325,0.10062
28/04/2023,26.98,27.4371,26.3,26.97,4859412,0.115,0.088,0.10595,0.10142
01/05/2023,26.84,27.12,26.5,26.8,4154543,0.083,0.091,0.10585,0.10128
02/05/2023,26.5,26.7,25.19,25.31,6748447,-0.072,0.066,0.09805,0.09784
03/05/2023,25.43,25.99,24.685,24.99,6798165,-0.006,0.053,0.0919,0.09584
05/05/2023,25.22,26.63,25.15,26.46,5635527,0.149,0.063,0.09485,0.09684
08/05/2023,26.9,28.65,26.78,28.35,7621966,0.119,0.069,0.0983,0.09772
10/05/2023,28.99,29.085,28.21,28.74,13394530,0.083,0.065,0.0904,0.0986
11/05/2023,30.27,32.78,30,32.46,26315300,0.083,0.063,0.0893,0.0979
12/05/2023,32.34,32.34,29.2101,29.65,14242110,0.106,0.066,0.0922,0.09882
15/05/2023,29.33,30.17,29.08,30,7159409,0,0.103,0.08315,0.09698
17/05/2023,28.29,30.135,28.27,30.08,8746365,0.024,0.085,0.07835,0.09572
22/05/2023,29.32,30.35,29.12,30.16,7030491,0.268,0.137,0.08625,0.10102
24/05/2023,27.81,28.4199,27.6561,28.34,5546312,0.141,0.142,0.0857,0.10094
25/05/2023,28.86,28.86,26.665,27.07,8212365,0.149,0.137,0.08835,0.10366
26/05/2023,27.07,28.385,26.99,27.65,8287397,0.071,0.147,0.0853,0.10326
30/05/2023,28.26,29.49,27.96,28.72,8645315,0.242,0.179,0.0911,0.10582
31/05/2023,28.44,29.825,28.26,29.72,9232437,0.157,0.195,0.09735,0.1076
01/06/2023,29.21,30.28,29.01,30.12,6337594,0.126,0.165,0.09965,0.10742
05/06/2023,31.11,39.45,30.94,36.32,49792220,0.09,0.139,0.1002,0.10818
06/06/2023,37.57,37.68,34.52,35.84,43561840,0.113,0.135,0.10205,0.1108
08/06/2023,34.79,36.29,34.36,36.28,13937000,0.064,0.123,0.0995,0.11084
09/06/2023,37.35,38.105,35.82,36.3,17561290,0.086,0.125,0.09965,0.11082
12/06/2023,36.27,37.4,35.56,35.99,14032850,0.198,0.119,0.11315,0.11134
14/06/2023,38.76,42.345,38.25,41.04,36951070,0.18,0.122,0.12245,0.11176
15/06/2023,40.675,42.13,40.3202,41.67,18364180,0.124,0.122,0.1212,0.1132
16/06/2023,42.62,45.07,41.89,42.56,32851830,0.178,0.135,0.12415,0.1136
20/06/2023,42,43.79,39.35,40.01,23543700,0.135,0.138,0.12675,0.1108
22/06/2023,37.64,38.6999,37.45,37.85,11382650,0.103,0.143,0.12775,0.11248
23/06/2023,37.01,37.7815,36.4483,37.47,12682400,0.093,0.144,0.1271,0.11174
27/06/2023,38.99,42.6,38.8,42.38,33732710,0.13,0.136,0.1336,0.10794
28/06/2023,42.7,44.48,41.89,44.12,22007280,0.06,0.126,0.1354,0.10792
29/06/2023,44.55,44.55,42.86,43.68,13520370,0.143,0.121,0.12915,0.10908
30/06/2023,44.78,45.08,43.26,43.42,11397070,0.109,0.118,0.12755,0.10958
03/07/2023,43.5,44.22,43.13,43.46,6843407,0.122,0.12,0.1262,0.10968
05/07/2023,43.3,43.93,41.44,41.58,11541420,0.078,0.115,0.12655,0.10944
07/07/2023,40.68,41.42,40.35,40.46,9015028,0.093,0.11,0.1191,0.1103
11/07/2023,40.39,44.04,40.2,43.82,17000430,0.107,0.116,0.1166,0.10762
12/07/2023,44.7,44.78,42.3,43.69,13924700,0.108,0.111,0.1157,0.10768
13/07/2023,44.4,47.86,44.25,46.84,18990790,0.14,0.116,0.1182,0.10952
19/07/2023,48.23,50.08,47.2,48.5,15129850,0.156,0.121,0.12035,0.10902
20/07/2023,47.04,47.6,44.175,44.44,12804800,0.154,0.119,0.12485,0.1097
21/07/2023,45.265,45.8,44.38,44.49,10087510,0.144,0.129,0.12775,0.11038
25/07/2023,44.03,44.74,43.1,43.2,7209572,0.161,0.139,0.1259,0.11056
26/07/2023,42.95,44.0799,42.42,43.33,7340531,0.256,0.16,0.1297,0.11376
28/07/2023,44.32,45.575,43.9,45.39,9074621,0.095,0.158,0.12825,0.11302
31/07/2023,46.48,47.15,45,45.84,8712236,0.135,0.157,0.1261,0.1132
03/08/2023,42.62,42.95,40.255,41.12,15400840,0.089,0.148,0.1238,0.11434
04/08/2023,41.715,42.08,39.9,40.17,10471810,0.14,0.146,0.12565,0.11554
07/08/2023,40.02,40.25,38.79,39.95,9012683,0.162,0.12,0.1291,0.1172
08/08/2023,38.71,39.01,37.62,38.89,11083370,0.065,0.093,0.12585,0.11698
10/08/2023,37.81,38.525,36.71,37.09,7749879,0.104,0.094,0.12805,0.11676
11/08/2023,36.38,37,36.01,36.63,7656937,0.112,0.091,0.1265,0.11734
14/08/2023,35.88,36.56,35.22,36.54,7269862,0.196,0.106,0.13085,0.1227
15/08/2023,36.2,36.32,35.06,35.32,7983670,0.107,0.102,0.1301,0.12496
21/08/2023,34.53,34.9,33.98,34.51,7240398,0.095,0.12,0.13095,0.12388
23/08/2023,34.11,34.99,33.97,34.63,5442301,0.198,0.125,0.1362,0.12546
24/08/2023,35.15,35.24,33.495,33.85,8139023,0.084,0.128,0.13505,0.12548
25/08/2023,33.9,34.88,33.86,34.72,5681656,0.075,0.124,0.1334,0.12532
28/08/2023,35.45,35.6282,34.105,34.69,6723661,0.138,0.128,0.1333,0.12596
30/08/2023,36.92,37.945,36.46,37.47,7375053,0.116,0.116,0.1313,0.12828
31/08/2023,37.17,37.6,36.62,37.07,5881927,0.087,0.113,0.12795,0.12954
01/09/2023,37.5,38.15,37.025,37.09,5552305,0.228,0.132,0.13215,0.12874
05/09/2023,36.74,38.795,36.44,38.58,9170201,0.155,0.127,0.13185,0.12902
06/09/2023,38.4,40.05,38.29,39.29,10384570,0.138,0.136,0.12595,0.1288
07/09/2023,37.95,38.13,36.8,38.01,8776907,0.13,0.135,0.1277,0.12998
08/09/2023,38.3,39.04,37.41,37.68,6200592,0.053,0.126,0.1236,0.1262
12/09/2023,37.44,39.745,37.39,38.97,13426710,0.055,0.107,0.1219,0.12416
13/09/2023,38.18,38.72,35.83,36.82,18526870,0.067,0.103,0.11825,0.12298
14/09/2023,35.515,37.47,35.26,35.71,14786460,-0.033,0.077,0.1085,0.12052
15/09/2023,36.3,37.24,35.32,36.32,19331060,0.078,0.068,0.10915,0.11982
18/09/2023,35.06,35.3,32.455,33.45,31956810,0.096,0.063,0.10875,0.12046
19/09/2023,33.37,34.48,33.12,33.96,11216400,0.097,0.069,0.108,0.12068
21/09/2023,32.33,32.6883,31.59,31.73,12338160,0.001,0.052,0.09825,0.11674
22/09/2023,32.02,32.62,31.56,31.61,10205090,0.079,0.055,0.09685,0.11472
25/09/2023,31.17,31.64,30.81,31.36,7907917,0,0.045,0.0921,0.11224
27/09/2023,30.9,31,30.26,30.56,7386020,0.034,0.055,0.0839,0.10936
