Date,Open,High,Low,Close/Last,Volume
18/10/2021,253.97,260.38,252.6068,259.92,1309694
19/10/2021,260.14,262.44,257.31,257.71,981465
20/10/2021,258.66,262.5,254.62,256.28,613479
21/10/2021,254.73,261.08,254.73,259.77,786137
22/10/2021,259.17,260.82,256.18,260.38,739358
25/10/2021,260,265.07,258.52,261.05,818568
26/10/2021,262.53,263.5,255.34,255.71,973154
27/10/2021,256.15,258.3,249.07,250.01,1243989
28/10/2021,248.57,248.75,239.57,244.63,2124794
29/10/2021,244.97,249.79,244.01,247.18,1044266
01/11/2021,247.2,250.21,244.01,250.2,962957
02/11/2021,251.46,256.69,250.54,253.7,908442
03/11/2021,254.7,255,248.51,254.25,787081
04/11/2021,255.8,257.52,250.89,255.7,1092136
05/11/2021,257.38,258.61,250.77,254.89,723629
08/11/2021,254.8,261.37,254,257.95,1034384
09/11/2021,259.24,268.49,258,268.28,1430670
10/11/2021,266.92,269.91,256.67,258.04,1178706
11/11/2021,261.02,263.27,255.26,255.53,777080
12/11/2021,257.32,262.97,256,261.5,1091692
15/11/2021,261.61,262,257.11,260,696901
16/11/2021,260,268.18,258.02,267.95,1095541
17/11/2021,266.41,269.33,263.06,266.42,854805
18/11/2021,267.41,272.27,261.8,264.39,1140750
19/11/2021,264.35,264.39,239.91,240.68,3027766
22/11/2021,239.54,240,226.05,226.25,2276477
23/11/2021,224.6,224.65,214.57,215.64,2525240
24/11/2021,212.86,220.53,208.24,219.58,1900795
26/11/2021,221.1,224.21,217.01,222.69,920754
29/11/2021,224,225.73,218.84,223.61,1459282
30/11/2021,226.46,226.46,213.52,215.23,1968508
01/12/2021,218.54,219.5,196.78,198.08,3016507
02/12/2021,215.75,224.62,213.19,221.18,5852495
03/12/2021,219.95,225,210.23,214.59,2754134
06/12/2021,212.52,218.67,203.9394,217.88,2121140
07/12/2021,225,232.76,224.99,230.44,1970102
08/12/2021,230.44,244.18,227.53,240.07,2053239
09/12/2021,239.18,242.9,226.73,228.16,2041716
10/12/2021,229,233.66,222.48,223.66,1346288
13/12/2021,221.61,227.9,219.02,221.91,1272265
14/12/2021,217.954,222,212.39,217.36,1485367
15/12/2021,217.03,224.89,212.88,222.55,1953437
16/12/2021,223.09,223.75,206.81,211.8,2362290
17/12/2021,206.39,218.86,200.22,217.91,4725507
20/12/2021,214.32,223.1,210.93,218.91,1919277
21/12/2021,220.702,229.095,217.45,228.38,1551585
22/12/2021,228.38,234.79,225.87,228.34,971064
23/12/2021,227.38,229.38,224.91,228.31,596349
27/12/2021,227.95,232,227.6203,229.41,798249
28/12/2021,229.92,230.095,223.14,224.47,545616
29/12/2021,223.15,224.36,218.9812,224.18,818460
30/12/2021,224.97,229.67,224.4501,225.05,735163
31/12/2021,225,227.61,223.49,224.17,771111
03/01/2022,223.05,226.49,218.62,222.66,1249663
04/01/2022,221.75,222.9,207.07,215.01,1968864
05/01/2022,208.11,212.545,197.64,198.59,2045855
06/01/2022,197.65,206.53,192.75,202.22,2153894
07/01/2022,199.56,207.03,195.9501,196.67,1781393
10/01/2022,189.06,201.885,184.02,201.24,2915498
11/01/2022,198.61,213.31,197.46,207.98,1965396
12/01/2022,211.06,220.88,211.04,213.93,2197458
13/01/2022,212.9,214.38,201.78,202,2014498
14/01/2022,198.145,205.07,196,204.41,1702673
18/01/2022,199,204.35,195.83,197.2,1573964
19/01/2022,197.47,204,195.6,197.42,1298786
20/01/2022,203.02,210.41,200.16,200.32,2227154
21/01/2022,198.71,205.88,176.385,188.26,6285484
24/01/2022,181.62,191.67,172.53,190.9,4121017
25/01/2022,184.96,188.295,174.52,177.66,3547552
26/01/2022,184.01,190.98,176.22,178.04,3093972
27/01/2022,183.47,185.26,175.11,175.6,1573339
28/01/2022,175.99,184.625,171.86,184.24,1942144
31/01/2022,185.77,198.13,185.77,197.89,1763452
01/02/2022,199.4,201.63,192.815,201.42,1465021
02/02/2022,195.55,198.33,187.11,191.24,2521722
03/02/2022,185.09,188.47,180.08,182.8,1810764
04/02/2022,182.8,191.22,181.33,188.86,1273468
07/02/2022,187.94,195.39,186.79,188.09,968468
08/02/2022,184.72,191.49,182.5601,190.45,1052673
09/02/2022,195,196.35,190,195.46,933495
10/02/2022,191.27,203.79,190,196.28,1749358
11/02/2022,197.81,201.47,190.23,191.77,1495613
14/02/2022,190.8,196,187.67,189.41,1285069
15/02/2022,193.18,196.95,190.94,195.43,1256875
16/02/2022,191.99,192.99,186.01,188.55,1579927
17/02/2022,183.9,185.66,171.51,173.45,2752528
18/02/2022,174.21,175.25,163.45,164.67,3044525
22/02/2022,164.68,173.59,163.42,168.93,3693595
23/02/2022,169.98,171.32,159.48,159.51,1931988
24/02/2022,154.04,174.0299,152.51,173.56,3230249
25/02/2022,173.01,177.615,168.6,177.37,2272216
28/02/2022,177.37,186.11,177.37,182.84,4097061
01/03/2022,185.08,188.895,182.32,184.14,2399840
02/03/2022,184.2,184.65,177,182.7,2912635
03/03/2022,174,177.95,161.12,167.98,5256475
04/03/2022,167.2,172.9799,157.06,158.41,2694349
07/03/2022,159.63,161.6,152.89,154.4,2141944
08/03/2022,155.49,164.22,152.53,159.55,2536401
09/03/2022,165.135,171.88,161.995,170.3,2456727
10/03/2022,167.55,168.5737,162.7195,165.72,1374880
11/03/2022,167.21,167.2499,153.82,154.06,2056977
14/03/2022,152.5,156.24,144.28,146.1,2393784
15/03/2022,146.7,149.35,143.3,148.93,2026544
16/03/2022,150.95,157.72,145.88,155.79,3572624
17/03/2022,154.61,161.44,152.39,161.12,1849035
18/03/2022,160.89,174.95,160.63,174.5,4094938
21/03/2022,171.36,176.185,163.83,169.41,1919495
22/03/2022,155.88,169.46,154.45,166.43,8609308
23/03/2022,160.25,160.25,148.41,148.55,7244035
24/03/2022,149.78,149.78,137.185,144.5,8354673
25/03/2022,144.91,144.99,135.46,138.11,5506050
28/03/2022,139.73,150.26,139,149.86,4860611
29/03/2022,152,158.34,151.38,156.81,4143851
30/03/2022,154.22,158.4879,151.9238,152.6,2101067
31/03/2022,152.12,152.885,147.63,150.96,2764100
01/04/2022,151.22,153.12,147,148.79,2149532
04/04/2022,149.75,161.59,149.4,160.42,2665242
05/04/2022,161.06,161.61,155.2757,156.79,1827338
06/04/2022,152.74,153.084,148.17,150.1,1499425
07/04/2022,148.19,151.42,144.62,147.57,1305901
08/04/2022,146.3,147.5,142.4,142.86,1241424
11/04/2022,141.43,147.77,138.76,144.93,2206055
12/04/2022,148,151.76,143.22,143.36,1442462
13/04/2022,142.68,151.63,140.87,150.25,2219344
14/04/2022,150.14,150.78,143.22,143.57,2036867
18/04/2022,142.84,143.57,136.85,139.71,1607268
19/04/2022,140,150.805,139.57,149.05,1941843
20/04/2022,149.57,149.57,143.62,144.76,1361417
21/04/2022,147.49,149.66,137.57,138.77,2081644
22/04/2022,137.27,141.63,134.18,136.33,1813859
25/04/2022,134.78,140.23,134.41,138.4,1574231
26/04/2022,136.74,137.98,129.6121,129.69,1643374
27/04/2022,128.36,132.9,126.69,127.06,1448630
28/04/2022,129.98,132.96,124.2501,131.7,1667319
29/04/2022,129.29,131.055,118.88,119.31,2573416
02/05/2022,118.41,124.005,117.05,123.97,1667235
03/05/2022,122.85,125.3,117.18,117.72,2424280
04/05/2022,117.75,120.56,110.04,120.51,3110791
05/05/2022,119.17,119.17,109.9,111.17,2281497
06/05/2022,109.12,109.95,100.05,102.45,3986613
09/05/2022,98.24,100.49,87.641,88.83,5680325
10/05/2022,92.2,94.6,84.58,91.57,4878110
11/05/2022,89.01,93.72,83.26,84.46,3949131
12/05/2022,82.08,89.97,80.31,87.69,3095960
13/05/2022,90.99,98.29,90.4,97.7,3385847
16/05/2022,95.5,97.52,89.1,89.37,2163692
17/05/2022,92.22,94.13,84.47,87.48,3368316
18/05/2022,84.43,86.43,77.16,78.77,6090889
19/05/2022,78.9,86.34,77.3,83.03,4245726
20/05/2022,86.47,87.31,80.305,84.22,2779716
23/05/2022,84.03,84.6,80.04,83.51,2152183
24/05/2022,81.67,81.67,77.01,78.86,2119770
25/05/2022,78.43,83.785,78,82.57,2195160
26/05/2022,79.79,83.38,79.26,81.21,3314847
27/05/2022,82.88,86.25,82.375,86.06,2466380
31/05/2022,85.29,86.92,82.56,83.05,4354164
01/06/2022,84.43,87.57,82.32,84.43,2776139
02/06/2022,84.13,94.22,83.64,93.68,6110415
03/06/2022,107.023,111.35,98.12,98.38,14341230
06/06/2022,101.55,101.66,94.17,95,5703792
07/06/2022,93.11,99.75,92.09,99.74,3973713
08/06/2022,98.93,105.16,98.73,102.19,3987944
09/06/2022,100.8,101.14,94.56,94.92,4562666
10/06/2022,92.75,93.68,88.695,90.12,4301213
13/06/2022,85.81,87.11,80.83,81.66,3578364
14/06/2022,82.37,84.66,80.1,81.47,2709296
15/06/2022,83.59,87.615,82.8314,85.91,2746492
16/06/2022,82,83.68,77.9649,79.04,3443146
17/06/2022,80.06,83.29,79.4,82.67,5344677
21/06/2022,83.75,86.82,83.58,84.12,2633108
22/06/2022,82.49,87.74,82.3,86.02,2086114
23/06/2022,86.92,93.99,86.14,93.4,2722138
24/06/2022,94.8,101.35,94.35,101.26,5863091
27/06/2022,100.89,101.81,96.72,97.26,2421436
28/06/2022,97.43,99.61,91.83,92.6,1824867
29/06/2022,92.2,93.66,90.1,93.36,1902124
30/06/2022,92.32,92.89,87.3,90.4,2301381
01/07/2022,90.32,96.27,88.54,95.98,2424651
05/07/2022,95.64,102.84,93.8,102.56,2755384
06/07/2022,103.03,106.05,99.99,101.33,2411490
07/07/2022,100.51,104.29,100.17,103.66,1490172
08/07/2022,100.84,105.88,99.81,103.9,2313301
11/07/2022,102.59,104.72,98.77,100.38,2217829
12/07/2022,100.57,104.53,94.945,95.76,2731721
13/07/2022,93.78,98.69,91.29,97.1,2016322
14/07/2022,96.07,96.65,92.31,92.84,2374830
15/07/2022,93.54,95.82,91.5,94.02,1778444
18/07/2022,96.24,99.2,95.13,95.46,2275384
19/07/2022,97.27,97.63,92.2,95.69,1728612
20/07/2022,96.26,104.6,96.26,103.03,2415398
21/07/2022,102.53,104.98,101.37,104.4,1516837
22/07/2022,104.4,107.86,99.91,101.95,1611216
25/07/2022,101.68,101.68,98.27,99.14,1797617
26/07/2022,98.94,98.94,91.03,91.17,1877686
27/07/2022,93.87,96.52,92.47,96.42,2001849
28/07/2022,96.44,98.92,93.45,98.4,1640688
29/07/2022,98.34,98.6421,95.18,98.45,1743266
01/08/2022,96.91,102.44,95.25,98.53,1381005
02/08/2022,96.34,100.2299,96.325,97.88,1339108
03/08/2022,100.96,106.61,100.8,104.49,3145744
04/08/2022,103.61,105.42,100.54,104.07,1195029
05/08/2022,101,105.99,100.27,104.47,1233376
08/08/2022,105.67,110.94,105.03,107.22,1680971
09/08/2022,105.87,106.0634,99.81,101.43,2092073
10/08/2022,104.06,108.13,104.02,105.69,2562725
11/08/2022,107.13,109.345,101.885,102.49,1688528
12/08/2022,104.5,104.5,101.4,104.15,1090692
15/08/2022,102.7,107.86,102.35,107.11,1230427
16/08/2022,106,107.1,101.71,106.02,1451338
17/08/2022,103.7,104.63,100.2529,101.72,1338171
18/08/2022,101.07,102.5671,99.35,101.77,1032885
19/08/2022,99.12,100.14,92.9,96.21,2984590
22/08/2022,94.17,95.96,92.41,93.5,1636435
23/08/2022,94.83,97.52,93.44,93.51,1384052
24/08/2022,94.16,97.89,93.765,96.63,1588857
25/08/2022,96.65,98.68,95.3415,98.57,1865578
26/08/2022,99.68,99.68,92.14,93.48,1870945
29/08/2022,91.5,93.58,89.335,89.8,2664811
30/08/2022,91.35,93.78,88.22,91.16,1887335
31/08/2022,93.74,94.7814,89.76,91.4,4914738
01/09/2022,69.155,69.34,58.12,60.6,45872020
02/09/2022,61.86,66.4989,61.43,64.63,21050150
06/09/2022,64.34,64.7808,60.52,60.66,8497137
07/09/2022,60.82,61.97,59.35,61.19,7387473
08/09/2022,59.96,64.18,59.75,62.67,4949640
09/09/2022,63.8,65.23,62.88,64.7,6927008
12/09/2022,65.04,65.8,63.73,64.8,7237801
13/09/2022,61.54,63.01,60.7701,61.48,5549111
14/09/2022,61.2,61.85,60.01,60.8,5368937
15/09/2022,60.86,63.32,60.11,62.54,5468247
16/09/2022,60.27,60.7552,58.51,59.01,9963355
19/09/2022,58.81,59.37,57.71,58.91,4656568
20/09/2022,58.57,59.87,57.85,58.5,5726294
21/09/2022,59,59.5001,56.85,56.97,3331224
22/09/2022,56.13,57.16,55.2201,55.26,3568786
23/09/2022,53.91,55.16,53.15,54.18,3916480
26/09/2022,54.4,55.66,52.75,52.84,3755085
27/09/2022,54.32,55,52.93,54.07,2916103
28/09/2022,54.54,56.24,54.1305,55.65,3557691
29/09/2022,55.21,57.105,54.501,56.8,4715710
30/09/2022,56.5,59.89,55.85,56.87,4094036
03/10/2022,57.5,58.44,55.37,57.82,3959913
04/10/2022,59.82,60.72,59.12,59.77,3440026
05/10/2022,58.26,59.99,57.12,59.49,2034597
06/10/2022,57.83,59.47,57.05,58.01,3814128
