Date,Open,High,Low,Close,Volume,Average Score,7 MA
15/03/2023,149.85,151.89,148.59,151.63,75960127,0.119,0.327
16/03/2023,150.81,155.07,150.29,154.47,76016995,0.698,0.361
17/03/2023,154.7,155.35,152.91,153.63,98421296,0.604,0.422
20/03/2023,153.69,156.42,152.78,156,73514180,0.785,0.56
21/03/2023,155.92,157.99,155.15,157.87,73755983,0.539,0.569
22/03/2023,157.89,160.7,156.41,156.43,69164919,0.49,0.622
23/03/2023,157.42,160.12,156.28,157.52,67219852,0.417,0.582
24/03/2023,157.45,158.92,156.45,158.83,57078234,0.692,0.595
27/03/2023,158.52,159.34,156.47,156.88,50400777,0.696,0.54
28/03/2023,156.57,157.08,154.6,156.25,45580412,0.557,0.543
29/03/2023,157.96,159.62,157.94,159.34,50415453,0.503,0.545
30/03/2023,160.1,161.03,159.84,160.92,46805370,0.473,0.553
31/03/2023,161,163.54,160.47,163.44,68305010,0.592,0.539
01/04/2023,125.57,127.32,123.78,125.05,88452110,0.141,0.364
04/04/2023,165.12,165.36,163.65,164.16,44435155,0.569,0.489
05/04/2023,163.43,165.56,162.85,164.32,70216187,0.534,0.515
08/04/2023,184.13,185.98,180.56,180.63,114896210,0.584,0.622
10/04/2023,170.04,173.14,169.92,172.59,52738576,0.45,0.443
12/04/2023,189.05,189.12,186.54,188.51,43074734,0.577,0.56
13/04/2023,160.2,164.33,159.99,164.09,67156588,0.498,0.371
14/04/2023,163.13,164.84,162.37,163.74,48081262,0.534,0.304
17/04/2023,163.63,163.92,162.58,163.76,40713618,0.602,0.417
18/04/2023,164.63,165.93,164.18,164.99,48417320,0.453,0.411
19/04/2023,164.33,166.67,164.07,166.14,47237478,0.666,0.464
20/04/2023,164.62,166.38,164.09,165.17,52216709,0.663,0.488
21/04/2023,163.59,164.98,163.03,163.56,56828963,0.664,0.507
24/04/2023,163.54,164.13,162.44,163.86,38958536,0.618,0.512
25/04/2023,163.72,164.83,162.28,162.32,48166078,0.576,0.53
26/04/2023,161.61,163.81,161.36,162.31,44122192,0.839,0.555
27/04/2023,163.72,167.06,163.72,166.92,64232732,0.75,0.567
28/04/2023,167,168.34,166.39,168.17,55096276,0.51,0.545
01/05/2023,125.81,126.44,123.47,123.72,79945171,0.364,0.36
04/05/2023,163.28,163.59,160.36,162.31,51416166,0.404,0.475
05/05/2023,169.46,172.75,169.25,172.03,112913525,0.628,0.532
06/05/2023,181.26,183.57,176.7,178.23,121391117,0.565,0.707
07/05/2023,190.13,191.53,189.19,189.9,46585212,0.604,0.5
09/05/2023,187.12,188.81,186.46,188.53,44733122,0.536,0.702
10/05/2023,172.72,174.37,171.62,173.83,48378836,0.476,0.447
12/05/2023,189.28,193.45,189.25,192.48,65346956,0.509,0.534
15/05/2023,171.86,171.91,170.19,170.78,37184744,0.657,0.646
16/05/2023,170.7,171.84,170.51,170.78,41997436,0.362,0.568
17/05/2023,170.42,171.63,169.14,171.4,57804727,0.631,0.578
18/05/2023,171.7,173.93,171.29,173.74,65090199,0.531,0.579
19/05/2023,175.07,175.07,173.63,173.85,55592970,0.402,0.582
22/05/2023,172.68,173.4,172.15,172.89,43290759,0.412,0.498
23/05/2023,171.83,172.08,169.99,170.27,49178391,0.402,0.503
24/05/2023,169.81,171.13,169.24,170.55,43488585,0.954,0.55
25/05/2023,171.12,172.59,170.4,171.69,55919420,0.847,0.595
26/05/2023,172.02,174.45,171.81,174.12,54834975,0.948,0.673
30/05/2023,175.63,177.65,175.25,175.97,55768902,0.907,0.95
31/05/2023,176,178.01,175.44,175.92,99466662,0.752,0.921
01/06/2023,124.7,128.94,123.59,128.27,86818559,0.606,0.413
02/06/2023,150.99,151.51,149.22,150.16,68013573,0.034,0.375
03/06/2023,152.42,154.91,152.1,152.47,87250103,0.542,0.435
04/06/2023,160.99,163.5,160.56,163.2,45390123,0.643,0.499
06/06/2023,178.62,178.77,176.1,177.87,64341275,0.419,0.624
07/06/2023,188.42,190.58,187.78,190.37,44995399,0.565,0.535
09/06/2023,187.24,187.69,180.35,181.78,81162126,0.227,0.651
10/06/2023,172.73,176.9,172.11,176.4,57089775,0.433,0.445
11/06/2023,175.29,178.33,175.13,178.13,63809232,0.494,0.504
12/06/2023,193.5,193.81,191.17,191.38,40895115,0.499,0.544
13/06/2023,181.43,182.77,181.07,181.94,54648141,0.629,0.533
14/06/2023,182,183.01,180.66,182.57,56522724,0.759,0.541
15/06/2023,182.58,185.12,182.4,184.62,65278114,0.767,0.567
16/06/2023,185.33,185.59,182.89,183.53,101256225,0.847,0.637
20/06/2023,183.03,184.71,183.03,183.62,49702249,0.861,0.679
21/06/2023,183.51,184.02,181.22,182.58,49358723,0.534,0.647
22/06/2023,182.36,185.64,182.29,185.6,50841516,0.705,0.638
23/06/2023,184.16,186.15,183.62,185.28,53079244,0.611,0.604
26/06/2023,185.43,186.64,183.84,183.88,47877203,0.441,0.658
27/06/2023,184.5,186.98,184.28,186.65,49726579,0.118,0.552
28/06/2023,186.52,188.48,186.19,187.83,50900483,0.48,0.544
29/06/2023,187.66,188.65,187.52,188.17,45489346,0.319,0.489
30/06/2023,190.19,193.02,189.83,192.52,84376271,0.504,0.474
02/07/2023,149.08,153.62,149.08,153.05,83109099,0.445,0.397
03/07/2023,152.34,152.66,149.79,150.26,55563349,0.68,0.489
06/07/2023,177.1,179.85,175.99,176.49,61622174,0.705,0.595
07/07/2023,189.98,191.23,188.81,189.25,46599545,0.633,0.553
08/07/2023,180.77,181.76,176.02,177.51,96954226,0.751,0.647
09/07/2023,174.1,177.11,172.47,176.47,112197428,0.082,0.569
11/07/2023,178.08,181.32,177.87,180.7,69710698,0.452,0.492
12/07/2023,192.69,194.05,192.65,193.32,47338824,0.549,0.509
13/07/2023,189.07,189.76,188.36,189.11,40134339,0.692,0.605
14/07/2023,188.8,189.75,188.21,189.26,41519265,0.748,0.621
17/07/2023,190.46,192.86,190.37,192.54,49842865,0.742,0.585
18/07/2023,191.9,192.87,190.97,192.28,48187148,0.544,0.558
19/07/2023,191.65,196.74,191.21,193.64,77218986,0.586,0.566
20/07/2023,193.63,195,191.05,191.68,59055824,0.743,0.573
21/07/2023,192.65,193.51,189.8,190.5,63947142,0.701,0.567
24/07/2023,191.96,193.45,190.81,191.31,44861236,0.426,0.621
25/07/2023,191.88,192.98,191.47,192.17,36356266,0.531,0.619
26/07/2023,192.22,194.17,191.87,193.04,45928452,0.578,0.618
27/07/2023,194.55,195.72,191.11,191.77,46914165,0.731,0.616
28/07/2023,193.21,195.15,192.69,194.36,47037076,0.672,0.612
31/07/2023,194.59,195.02,193.8,194.98,38586803,0.688,0.622
02/08/2023,152.28,152.98,149.6,150.34,63384498,0.55,0.403
03/08/2023,151.45,152.11,150.48,151.51,47065988,0.309,0.467
05/08/2023,170.95,172.31,170.58,171.96,50868643,0.602,0.54
06/08/2023,176.56,179.49,176.13,179.22,50046191,0.584,0.571
08/08/2023,178.34,178.92,176.25,178.45,67602743,0.692,0.641
09/08/2023,177.25,179.13,176.7,177.08,65265836,0.254,0.485
11/08/2023,181.23,182.32,180.47,181.76,49175704,0.414,0.472
12/08/2023,193.25,195.04,192.73,194.76,52364789,0.444,0.511
14/08/2023,176.88,178.58,176.21,178.36,43470268,0.435,0.672
15/08/2023,177.78,178.38,175.96,176.36,43372391,0.547,0.651
16/08/2023,176.04,177.44,175.41,175.48,45598746,0.736,0.697
17/08/2023,176.05,176.41,172.41,172.93,61241625,0.409,0.636
18/08/2023,171.24,174.02,170.9,173.42,57974528,0.794,0.66
21/08/2023,173.99,175.05,172.67,174.76,44990232,0.61,0.649
22/08/2023,175.97,176.59,175.17,176.14,41383686,0.66,0.665
23/08/2023,177.42,180.43,177.23,180.01,51467409,0.67,0.656
24/08/2023,179.56,179.99,174.93,175.29,53224762,0.628,0.687
25/08/2023,176.29,178.05,174.74,177.51,49261435,0.548,0.652
