Date,Close/Last,Volume,Open,High,Low
14/06/2022,40.79,7177492,41.74,42.57,39.64
13/06/2022,41.59,9087571,43.99,45.73,41.28
10/06/2022,47.36,7427300,49.2,49.49,45.78
09/06/2022,51.6,4660492,55.04,55.04,51.57
08/06/2022,55.06,3130064,55.28,57.4099,54.58
07/06/2022,54.73,4595059,53.43,54.95,51.75
06/06/2022,53.91,4036543,55.42,56.69,53.44
03/06/2022,54.54,4994154,56.46,57.8,53.9
02/06/2022,57.9,7833243,54.85,59.88,54.32
01/06/2022,55.11,4100362,57.09,59.14,53.98
31/05/2022,56,6052717,59.86,59.86,55.18
27/05/2022,58.91,5012553,57.77,59.5699,56.0844
26/05/2022,56.05,5424201,50.41,56.57,50.15
25/05/2022,51.96,6885102,51.16,52.85,50.11
24/05/2022,50.5,7053186,55.26,55.26,50.03
23/05/2022,56.75,4371198,54.59,58.16,54.2701
20/05/2022,55.69,6157429,59.56,61.4,53.25
19/05/2022,58,7454408,54.04,59.35,53.7
18/05/2022,53.36,7775184,55.24,56.41,51.71
17/05/2022,56.27,9525953,59.97,61.29,53.8052
16/05/2022,57.36,7653506,64.2,64.95,57
13/05/2022,66.38,8849576,59.12,67.5966,58.9
12/05/2022,56.73,8963270,53.08,63.1,51.5
11/05/2022,54.81,9128644,56.54,60.9,54.63
10/05/2022,56.98,11022120,59.29,60.87,51
09/05/2022,56.56,9819312,63.17,64.42,56
06/05/2022,65.61,16745460,65.41,70.1483,60.9
05/05/2022,77.81,10345840,88.2,88.2,75.8
04/05/2022,90.4,7154790,89.83,90.7599,80.9201
03/05/2022,89.68,3274795,89.73,93.65,87.6901
02/05/2022,89.91,3920964,85.97,90.06,84.81
29/04/2022,86.14,3719198,94.17,97.82,85.87
28/04/2022,95.25,3364579,92.51,97.04,88.44
27/04/2022,90.59,2818323,92.12,94.8599,89.8
26/04/2022,90.74,3421318,98.16,98.73,90.52
25/04/2022,98.71,3905505,94.56,99.495,93.27
22/04/2022,95.22,3141080,98.54,102.83,95.03
21/04/2022,98.49,3543653,105.14,108.88,97.04
20/04/2022,103.7,4163959,111.32,111.69,101.38
19/04/2022,111.15,2475026,107.5,112.42,104.55
18/04/2022,108.15,3103038,112.56,113.5515,105.041
14/04/2022,113.98,3608090,120.58,122.52,113.55
13/04/2022,121.63,4066108,113.54,121.91,112.81
12/04/2022,113.92,4845244,112.58,119.97,112.48
11/04/2022,109.64,3061053,107.27,111.3396,104.125
08/04/2022,109.77,2379604,110.42,113.29,108.73
07/04/2022,112.36,3324686,108.66,113.95,108.2301
06/04/2022,109.63,5876879,118.03,118.03,107.14
05/04/2022,120.44,3709698,126.67,126.82,119.22
04/04/2022,126.9,3870262,124,128.4,123.51
01/04/2022,123.5,3548926,120.49,125.835,119.06
31/03/2022,119.7,4293494,125.05,126.8797,119.63
30/03/2022,124.4,4653847,128.56,132.04,122.13
29/03/2022,130.02,5365143,130.2,132.45,125.31
28/03/2022,126.28,7074146,119.8,127.34,119.74
25/03/2022,119.63,5150719,122.63,122.93,114.68
24/03/2022,122.39,5732331,116.58,123.4499,111
23/03/2022,117.59,5657739,112.4,121.88,110.5
22/03/2022,114.86,6095124,104.92,117.68,104.86
21/03/2022,104.45,5027862,106.7,108.59,100.54
18/03/2022,109.84,11031260,105.87,110.3,104.26
17/03/2022,106.31,6802438,94.5,107.5,93.775
16/03/2022,95.16,6829833,88.99,95.4,86.91
15/03/2022,85.94,4481889,83.97,87.16,80.85
14/03/2022,84.16,6522322,88.32,91.84,82.03
11/03/2022,88.72,4476561,99.22,99.79,88.67
10/03/2022,97.53,3277781,97,98.69,94.25
09/03/2022,98.4,4441567,94.3,99.26,93.13
08/03/2022,92.15,5272545,91.8,96.11,90.01
07/03/2022,92.16,6264150,103.88,105.34,92.1
04/03/2022,100.91,5120956,106.87,109.13,97.27
03/03/2022,104,10717240,117.636,118.55,101.4501
02/03/2022,119.8,4890747,118.1,120.55,110.53
01/03/2022,117.65,5441386,116.56,123.36,116.1866
28/02/2022,116.42,8031003,110.61,117.3,108.541
25/02/2022,109.27,5073877,107.83,109.9,100.53
24/02/2022,108.38,10327280,87.84,109.34,86.858
23/02/2022,91.34,4199168,95.15,97.7499,90.73
22/02/2022,94.73,4952582,94.8,98.79,93.38
18/02/2022,95.87,6862767,104.76,107.565,94.02
17/02/2022,103.81,4186801,110.68,111.08,102.7
16/02/2022,111.99,4311615,109.86,113,107.92
15/02/2022,115.35,5237634,109.01,115.68,107.29
14/02/2022,105.56,4757918,104.87,108.46,104.0198
11/02/2022,104.92,11871280,119.5,120.87,103.7
10/02/2022,115.96,10361800,113.87,123.12,113.84
09/02/2022,114.81,4731264,111.35,115.3,108.33
08/02/2022,109.96,4438619,104.53,110.95,102.13
07/02/2022,107.1,8025794,103.65,115.11,103.25
04/02/2022,103.19,5684435,98.46,106.08,94.53
03/02/2022,96.66,4842132,96.64,100.85,94.27
02/02/2022,99.8,7027169,103.215,103.245,97
01/02/2022,102.43,9360323,97.63,104.07,95.77
31/01/2022,96.4,6924379,86.5,96.47,86.47
28/01/2022,84.18,5393230,81.08,84.49,76.61
27/01/2022,80.34,5289360,82.57,83.73,79.44
26/01/2022,80.07,7764657,88.75,90.57,79
25/01/2022,84.78,7530527,90.64,92.44,83.53
24/01/2022,93.28,9744139,84.65,94.43,80.11
21/01/2022,88.55,7120749,94.38,96.43,87.84
20/01/2022,93.41,4909545,95.86,102.61,93.19
19/01/2022,94.32,4910195,94.99,99.47,93.86
18/01/2022,93.63,5758738,97.1,100.15,93.31
14/01/2022,100.29,5975066,99.25,101.95,95.58
13/01/2022,98.98,8118571,112.94,114.06,98.49
12/01/2022,113.97,5778241,117,122.13,112.0001
11/01/2022,114.14,4827507,110.23,115.8,109.0595
10/01/2022,110.75,5626829,102,111.03,100.01
07/01/2022,107,6148337,102.87,110.04,101.77
06/01/2022,104.04,5066587,103.52,108.58,102.15
05/01/2022,105.95,6186046,113.5,116.16,103.46
04/01/2022,114.96,9785367,124.52,125.97,108.58
03/01/2022,126.16,3646043,131.07,132.1,122.71
31/12/2021,131.5,2013724,133.27,134.875,130.5758
30/12/2021,133.2,1580658,132.01,136.69,132.01
29/12/2021,133.3,1988123,132.43,134.14,129.07
28/12/2021,132.93,2107430,140.81,140.81,132.43
27/12/2021,138.94,2057057,138.08,141.34,137.1
23/12/2021,137.27,2018261,137.13,138,133.27
22/12/2021,136.81,3429009,143.41,145.26,135.83
21/12/2021,144.34,4200424,134.54,144.67,131.89
20/12/2021,131.89,4160329,128.48,134.7669,123.9
17/12/2021,134.59,8283528,129.79,137.81,127.27
16/12/2021,131.87,5406905,142.99,143.49,128.65
15/12/2021,139.05,5090966,132,141.76,129.5001
14/12/2021,132,9058833,134.04,138.75,127.27
13/12/2021,145.03,5662058,140.46,147.74,140.0801
10/12/2021,140.48,5638256,151.51,155.6599,139.69
09/12/2021,150.2,4504358,165.66,170.4,148.7574
08/12/2021,160.44,3143040,156.84,162.33,150.03
07/12/2021,156.25,3533555,155.65,160.69,155.27
06/12/2021,147.69,7480731,153.47,155.6,144.52
03/12/2021,159.69,6102028,166.97,167.7,150.2
02/12/2021,166.37,5238426,163.82,174.4799,162.52
01/12/2021,164.21,6781230,190.12,190.525,163.86
30/11/2021,188.24,5191446,192.56,196.98,182.59
29/11/2021,191.09,4083725,197.5,199.21,185.71
26/11/2021,200.12,2248253,198.64,205.79,196.73
24/11/2021,197.39,3945267,182,198.28,180
23/11/2021,184.65,4530302,183.89,191.41,178.42
22/11/2021,186.45,5803515,209.73,212.5,185.68
19/11/2021,211.04,2512732,216.8,220.79,210.94
18/11/2021,217.25,3187190,211.09,221.64,208.5001
17/11/2021,211.8,2277246,211.98,216,208.04
16/11/2021,212.17,2825561,205,214.9425,204.64
15/11/2021,206.6,2515022,205.64,209,204.76
12/11/2021,204.76,2153379,199.38,207.4599,197.431
11/11/2021,196.26,1781949,200.57,202.99,195.8
10/11/2021,195.36,2888030,202.99,204.9499,192.85
09/11/2021,204.6,2976738,207,209.9,200.3
08/11/2021,210,3970791,194.5,211.26,192.56
05/11/2021,197.26,5071342,216.08,218,192.49
04/11/2021,201.09,3812312,195,202.28,193.5
03/11/2021,194.85,2180528,193.52,196,189.46
02/11/2021,192.37,2122903,194.99,196.35,189.2
01/11/2021,194.26,3016384,194.75,194.774,188.63
29/10/2021,194.72,3943257,183.36,196.8,182.78
28/10/2021,184.05,3154789,177.49,186.47,174.74
27/10/2021,178.65,3698243,180.5,187.51,178.11
26/10/2021,185.36,2888408,190.81,191.1799,181.6133
25/10/2021,189.41,3585103,182,192.08,179.73
22/10/2021,181.35,3081386,182.61,184.4668,177.22
21/10/2021,182,3570095,176.88,183.8,176.01
20/10/2021,175.45,5040562,175.8,176.8,168.29
19/10/2021,172.89,7857279,179.5,180,171.32
18/10/2021,180.77,7068740,167.6,182.9,167
15/10/2021,167.69,6212771,162.43,168.95,162.2671
14/10/2021,165.28,6428501,161.86,166.14,159.55
13/10/2021,159.43,5766859,151.8,159.47,151.19
12/10/2021,150.94,4142698,145.99,151.4692,144.8
11/10/2021,144.27,5379666,135.325,145.7,134.93
08/10/2021,139.66,2996871,137.15,139.9,134.74
07/10/2021,136.92,4040434,134.04,137.03,132.54
06/10/2021,133.44,7620125,123.98,135.105,123.98
05/10/2021,125.59,6688775,116.74,125.62,116.74
04/10/2021,115.73,4170824,114,115.82,111.57
01/10/2021,114.98,3446684,113.01,115.02,108.93
30/09/2021,112.65,3381322,113.14,115.32,110.78
29/09/2021,112.34,3715864,115.29,115.84,110.68
