Date,Open,High,Low,Close,Volume
23/07/2021,104.5,105.89,103.03,105.5,1642143
26/07/2021,104.43,105.41,102.97,103.32,1631026
27/07/2021,103,103.47,99.3993,100.78,2487091
28/07/2021,101.49,108.82,101.02,108.75,4349984
29/07/2021,108,111.74,107.41,111.25,3819425
30/07/2021,110.06,110.7459,106.27,107.12,2119749
02/08/2021,106.74,109.19,103.785,107.63,1843845
03/08/2021,107,107.22,103.12,105.2,2222655
04/08/2021,105,109.41,104.97,109.15,2274345
05/08/2021,109,110.9999,107.25,110.26,1678015
06/08/2021,109.2,110.48,106.5,107,2536020
09/08/2021,107.76,112.3,107.5,110.25,2451512
10/08/2021,110.07,112.15,107.03,107.15,2325063
11/08/2021,111.65,121.45,111.56,121.35,11178620
12/08/2021,119.98,127.97,119.05,126.69,9206251
13/08/2021,126.35,129,123.77,128.87,6862220
16/08/2021,126.42,128.58,120.43,122.19,4023682
17/08/2021,119.14,123.56,118.5,120.78,3233250
18/08/2021,120.68,121.74,116.8,117.92,2631389
19/08/2021,115.52,119.25,114.65,116.41,2589747
20/08/2021,116.5,122.98,116.49,122.84,3791504
23/08/2021,122.84,125.75,122.36,125.29,2479521
24/08/2021,125.3,127.15,124.2424,125.11,1773178
25/08/2021,125.31,126.48,123.41,124.62,1871377
26/08/2021,124.49,126.6,118.71,120.06,2638646
27/08/2021,120.94,124.2,120.42,123.51,1425124
30/08/2021,123.01,128.24,122.82,126.34,3440335
31/08/2021,127,129,124.75,126.75,2525098
01/09/2021,125.6,128.2099,125.15,126.5,2158528
02/09/2021,126.974,134.35,126.43,133.14,6157248
03/09/2021,132.75,135.5799,132.3674,133.61,2634724
07/09/2021,133.96,136.96,132.68,136.26,3625042
08/09/2021,135.2,135.8999,131.13,133.62,2584231
09/09/2021,131.83,135.686,131.69,134.14,2115194
10/09/2021,135.3,139.22,134,135.1,3669906
13/09/2021,133.11,134.13,128.15,131.17,3074163
14/09/2021,130.89,135,130.61,131.73,2283441
15/09/2021,131.23,132.42,128.82,132.03,3564225
16/09/2021,131.78,136.5,131.78,134.44,2468680
17/09/2021,135.31,138.48,133.5926,136.69,12892770
20/09/2021,131.28,133.3,124.33,127.56,4683421
21/09/2021,127.93,132.22,127.8,131,2289840
22/09/2021,131,134.59,130.39,133.51,1994902
23/09/2021,137.92,144.59,137.5,140.94,7114478
24/09/2021,138.59,142.77,138.555,142.52,2575154
27/09/2021,141,142.2,136.31,137.83,2633519
28/09/2021,134.2,135.5,126.9,127.18,4403337
29/09/2021,129.74,130.54,125.3,125.83,2998360
30/09/2021,126,127.79,125.17,126.25,2106081
01/10/2021,125.65,127.75,123.5,126.22,1984256
04/10/2021,125.09,125.13,118.306,119.85,2490779
05/10/2021,120.81,128.18,120.1567,128.05,3541624
06/10/2021,126.61,130.78,125.52,130.38,2545376
07/10/2021,132.2,137.2,132.2,136.07,2529590
08/10/2021,137,138.49,134.43,136.22,1833643
11/10/2021,134.55,138.55,133.28,135.7,1296256
12/10/2021,135.95,139.7,135.51,139.24,1689865
13/10/2021,139.5,141.5,137.57,137.76,1787918
14/10/2021,139.57,142.19,138.64,141.35,1857373
15/10/2021,141.46,143.174,140.19,141,1954860
18/10/2021,140.5,146.89,140.0856,146,3113513
19/10/2021,146.5,149.83,145.45,147.71,2630399
20/10/2021,147.79,148.33,140.5,142.33,2217298
21/10/2021,142.08,148.82,141.97,147.1,1755150
22/10/2021,146.53,147.74,143.58,143.85,2094188
25/10/2021,145,147.82,143.05,145.99,1396932
26/10/2021,149.74,151.9867,145.17,147.62,2520539
27/10/2021,147,150.4944,142.82,144.08,1584840
28/10/2021,145.5,149.38,144.66,148.07,1254187
29/10/2021,147.95,151.99,147.9,151.31,2411616
01/11/2021,152.3,155.03,147.22,148.7,2280882
02/11/2021,149.59,149.72,143.34,143.88,2229692
03/11/2021,144,148.01,142.52,147.6,1592435
04/11/2021,150,154.3,149.19,151.66,2169995
05/11/2021,152.25,154.1399,149.87,151.96,1580532
08/11/2021,155,163.46,154.17,163.1,6026705
09/11/2021,169.48,177.4459,163.084,171.63,9669601
10/11/2021,160.1,189.15,155.1,176.45,14515760
11/11/2021,179.95,189.59,179.4,182.13,7012667
12/11/2021,183,196.83,180.2,196.65,6213053
15/11/2021,198,207,197.14,197.55,7295459
16/11/2021,187.86,198.49,187.02,196.01,8553182
17/11/2021,195.38,198.71,190.06,191.8,5393123
18/11/2021,194.73,210,192.995,201.12,8788983
19/11/2021,198.69,199.5699,188.25,189.75,6567881
22/11/2021,193.66,195.35,174.39,177.2,8370503
23/11/2021,174.39,185.2,171.52,176.07,5813984
24/11/2021,174.96,183.13,173.011,181.81,6009294
26/11/2021,180,181.12,175.21,179.89,3218172
29/11/2021,185.472,186.6,165.07,170.33,8491163
30/11/2021,169.25,174.2199,165.96,172.39,6051910
01/12/2021,173.81,176.77,151.0075,151.68,9191680
02/12/2021,153.71,158.77,147.0001,152.34,6227735
03/12/2021,152.61,154.5737,138.67,146.88,7406767
06/12/2021,142.25,148.9,136,147.57,4611678
