Date,Close,Volume,Open,High,Low,avg,7ma,
28/08/2024,170.80,29045030.00,173.69,173.69,168.92,0.745,0.739,
27/08/2024,173.12,29841980.00,174.15,174.89,172.25,0.665,0.736,
26/08/2024,175.50,22366240.00,176.70,177.47,174.30,0.775,0.77,
23/08/2024,177.04,29150090.00,177.34,178.97,175.24,0.66,0.752,
22/08/2024,176.13,32047480.00,181.38,181.47,175.68,0.649,0.772,
21/08/2024,180.11,35599120.00,179.92,182.39,178.89,0.728,0.781,
20/08/2024,178.88,26255200.00,177.92,179.01,177.43,0.898,0.809,
19/08/2024,178.22,31129810.00,177.64,178.30,176.16,0.885,0.802,
16/08/2024,177.06,31489180.00,177.04,178.34,176.26,0.797,0.785,
15/08/2024,177.59,51698510.00,174.86,177.91,173.99,0.715,0.756,
14/08/2024,170.10,28843800.00,172.11,172.28,168.86,0.925,0.739,
13/08/2024,170.23,39237920.00,167.81,171.04,167.10,0.845,0.705,
12/08/2024,166.80,30072790.00,168.14,168.55,166.11,0.792,0.68,
09/08/2024,166.94,36401050.00,166.40,168.55,166.11,0.599,0.594,
08/08/2024,165.80,44616210.00,165.17,166.69,162.55,0.595,0.571,
07/08/2024,162.77,48408240.00,166.55,167.58,161.43,0.685,0.592,
06/08/2024,161.93,59950830.00,161.71,165.08,158.54,0.669,0.619,
05/08/2024,161.02,83149440.00,154.21,162.96,151.61,0.421,0.614,
02/08/2024,167.90,141448400.00,166.75,168.77,160.55,0.434,0.703,
01/08/2024,184.07,70435640.00,189.29,190.60,185.23,0.74,0.754,
31/07/2024,186.98,41667330.00,185.05,187.94,184.46,0.878,0.753,
30/07/2024,181.71,39508570.00,184.72,185.86,178.00,0.634,0.756,
29/07/2024,183.20,33270120.00,183.84,184.75,182.38,0.779,0.765,
26/07/2024,182.50,29505960.00,180.39,183.19,180.24,0.792,0.778,
25/07/2024,179.85,44464160.00,182.91,183.90,176.80,0.733,0.722,
24/07/2024,180.83,41532360.00,183.20,185.45,180.41,0.899,0.731,
23/07/2024,186.41,47537670.00,184.10,189.39,183.56,0.7,0.679,
22/07/2024,182.55,39931920.00,185.00,185.06,182.48,0.747,0.685,
19/07/2024,183.13,43081830.00,181.14,184.93,180.11,0.4,0.658,
18/07/2024,183.75,51043630.00,189.59,189.68,181.45,0.794,0.708,
17/07/2024,187.93,48076140.00,191.35,191.58,185.99,0.537,0.706,
16/07/2024,193.02,33994710.00,195.59,196.62,192.24,0.741,0.735,
15/07/2024,192.72,52548230.00,198.42,199.26,191.88,0.711,0.735,
12/07/2024,194.49,30598530.00,194.80,196.47,193.83,0.754,0.802,
11/07/2024,195.05,44565040.00,200.09,200.27,192.86,0.778,0.794,
10/07/2024,199.79,32883750.00,200.00,200.11,197.69,0.742,0.812,
09/07/2024,199.34,32756740.00,199.40,200.57,199.05,0.738,0.827,
08/07/2024,199.29,34767260.00,200.04,201.20,197.96,0.952,0.84,
05/07/2024,200.00,39858890.00,198.65,200.55,198.17,0.7,0.819,
03/07/2024,197.59,31597930.00,199.94,200.03,196.76,0.847,0.812,
02/07/2024,200.00,39858890.00,198.65,200.55,198.17,0.827,0.793,
01/07/2024,197.20,41192010.00,193.49,198.30,192.82,0.664,0.787,
28/06/2024,193.25,76930190.00,197.73,198.85,192.50,0.781,0.744,
27/06/2024,197.85,74397490.00,195.01,199.84,194.20,0.775,0.739,
26/06/2024,193.61,65103890.00,186.92,194.80,186.26,0.716,0.754,
25/06/2024,186.34,45898480.00,186.81,188.84,185.42,0.789,0.762,
24/06/2024,185.57,50610380.00,189.33,191.00,185.33,0.652,0.716,
21/06/2024,189.08,72931750.00,187.80,189.28,185.86,0.747,0.699,
