Date,Close,Volume,Open,High,Low,Avg,7 MA
08/02/2023,10.75,2022493,11.01,11.46,10.75,0.087,0.087
09/02/2023,10.21,2123260,11.02,11.02,10.185,0.088,0.066
13/02/2023,12.6,34855650,11.1,13.08,10.75,0.075,0.086
14/02/2023,13.43,12897240,12.25,13.48,12.16,0.087,0.099
15/02/2023,13.87,9923244,13.51,14.19,13.36,0.034,0.086
16/02/2023,16.06,27573550,13.78,17.18,13.495,0.085,0.088
17/02/2023,15.9,10880470,16.06,16.2601,15.36,0.008,0.066
21/02/2023,14.31,8054832,15.5,15.83,14.03,0.101,0.068
22/02/2023,14.87,4970357,14.31,14.87,14.13,0.139,0.076
23/02/2023,14.74,4101246,15.05,15.12,13.945,0.087,0.077
01/03/2023,13.61,2989555,13.94,14.1201,13.4,0.152,0.087
09/03/2023,14.18,3658773,15.2,15.495,14.09,0.114,0.098
15/03/2023,14.57,4657569,13.58,14.86,13.42,0.137,0.105
16/03/2023,16.11,6504872,14.57,16.15,14.545,0.12,0.121
21/03/2023,16.06,3059742,15.48,16.24,15.42,-0.077,0.096
27/03/2023,16.39,4138521,16.29,16.63,15.9222,0.157,0.115
03/04/2023,16.51,4597190,17.37,17.69,16.305,0.046,0.1
05/04/2023,15.64,4559916,16.95,16.95,15.36,0.1,0.098
11/04/2023,16.89,4947362,16.27,16.995,16.24,0.009,0.08
12/04/2023,16.41,3010485,17.43,17.4797,16.37,0.121,0.08
13/04/2023,16.42,2581177,16.71,17.24,16.41,0.132,0.11
19/04/2023,16.43,2011181,16.34,16.61,16.14,0.092,0.112
20/04/2023,16.32,2341899,16.68,17.07,16.2608,0.232,0.138
26/04/2023,14.84,2118593,15.41,15.646,14.8,0.076,0.135
27/04/2023,15.1,2173032,15.19,15.36,14.69,0.08,0.145
28/04/2023,14.78,2767888,14.64,14.8,14.1,0.125,0.146
03/05/2023,13.53,6566498,14.15,14.18,13.44,0.085,0.139
04/05/2023,11.85,6253177,13.28,13.53,11.73,0.028,0.103
08/05/2023,12.47,4336197,12,12.8,11.9336,0.11,0.105
10/05/2023,13.03,3406002,12.63,13.375,12.63,0.067,0.082
17/05/2023,13.27,2013985,12.87,13.31,12.73,0.096,0.088
22/05/2023,13.46,2905266,12.91,13.67,12.8642,0.131,0.089
23/05/2023,14.48,5583862,13.35,15.1156,13.21,0.152,0.099
24/05/2023,14.82,2959061,14.19,14.93,13.97,0.118,0.112
05/06/2023,16.46,1560195,16,16.69,15.97,0.355,0.147
06/06/2023,16.69,2600992,16.39,17.15,16.29,0.094,0.15
12/06/2023,16.51,1621839,16.77,16.89,16.5,0.169,0.167
13/06/2023,17.9,4677889,16.55,18,16.55,0.124,0.166
14/06/2023,18.05,2761151,17.79,18.28,17.5306,0.116,0.161
26/06/2023,15.24,2042509,15.59,16.013,15.15,0.106,0.128
28/06/2023,15.68,1488176,15.22,15.68,15.15,0.181,0.141
30/06/2023,15.77,2091528,16.11,16.24,15.72,0.143,0.14
06/07/2023,15.29,2383043,15.51,15.6,14.88,0.126,0.128
12/07/2023,17.21,1851250,17.89,17.9,17.015,0.137,0.131
14/07/2023,17.5,2350467,18.17,18.77,17.465,0.186,0.137
24/07/2023,17.49,2440776,17.35,17.49,17.02,0.13,0.141
28/07/2023,17.67,1702918,17.48,17.92,17.39,0.147,0.136
31/07/2023,18.37,2853017,17.8,18.51,17.8,0.115,0.12
02/08/2023,16.45,3515241,17.32,17.32,16.26,0.056,0.11
03/08/2023,20.24,10416700,18.35,20.58,18,0.083,0.102
04/08/2023,20.98,5580394,20.43,21.19,20.24,0.117,0.093
09/08/2023,20.38,5032197,20.97,21.54,20.24,0.153,0.075
16/08/2023,19.07,3724828,18.51,19.51,18.24,0.091,0.088
17/08/2023,19.12,3165656,19.25,19.3,18.69,0.152,0.093
28/08/2023,22.44,5230199,22.15,23.25,22.15,-0.046,0.079
29/08/2023,23.1,3616323,22.07,23.69,21.81,0,0.067
07/09/2023,23.38,2008419,23.2,23.59,22.96,0.103,0.065
14/09/2023,21.62,2433325,22.59,22.6,21.25,0.1,0.055
22/09/2023,18.5,1807711,18.48,18.66,18.09,0.053,0.04
25/09/2023,18.26,1815856,18.27,18.46,18.07,0.018,0.063
04/10/2023,18.25,2014953,17.94,18.26,17.55,0.125,0.09
05/10/2023,15.76,7458179,17.61,17.801,15.65,0.082,0.091
11/10/2023,16.46,1723963,16.65,17.04,16.16,0.154,0.099
12/10/2023,15.77,1766981,16.41,16.46,15.65,0.109,0.107
17/10/2023,15.68,2234633,15.15,15.9,15.11,0.036,0.099
18/10/2023,15.12,1690058,15.41,15.52,14.99,0,0.097
20/10/2023,14.66,3139802,14.68,14.915,14.21,0.077,0.083
24/10/2023,15,2357197,14.5,15.475,14.47,0.125,0.083
25/10/2023,14.22,2018003,14.66,14.748,14.08,0.083,0.083
26/10/2023,14.15,3168826,14.23,14.47,13.64,0.105,0.076
27/10/2023,14.12,2438035,14.41,14.54,13.75,0.119,0.078
30/10/2023,14.25,2525530,14.39,14.42,13.81,0.11,0.088
31/10/2023,14.67,2446576,14.35,14.75,14.1401,0.118,0.105
01/11/2023,14.25,5180760,14.49,14.6139,14.095,0.064,0.103
02/11/2023,16.47,6935602,17.5,17.9494,16.34,0.117,0.102
08/11/2023,17.01,2028308,17.36,17.43,16.81,0.149,0.108
14/11/2023,17.04,2887548,17.09,17.53,16.92,0.073,0.102
15/11/2023,17.28,2840687,17.09,17.7399,16.985,0.091,0.099
17/11/2023,17.97,3445265,16.4,17.97,16.39,0.104,0.097
27/11/2023,17.95,1685976,17.51,18.05,17.26,0.175,0.098
29/11/2023,18.56,2921203,18.23,18.8299,18.2269,0.118,0.105
18/12/2023,18.55,1925692,18.38,19.03,18.3382,0.108,0.107
21/12/2023,18.34,1548247,18.29,18.57,18.04,0.119,0.109
02/01/2024,17.49,2478728,17.61,17.855,17.14,0.105,0.116
09/01/2024,17.58,2176724,18.13,18.37,17.27,0.165,0.128
12/01/2024,17.87,2386014,17.66,18.3,17.56,0.082,0.115
18/01/2024,17.8,2304367,18,18.1795,17.19,0.115,0.114
22/01/2024,20.32,6458475,19.72,21.15,19.37,0.171,0.129
23/01/2024,20.62,2414961,20.84,20.92,20.24,0.1,0.128
30/01/2024,21.22,4670156,21.26,21.43,20.64,0.093,0.127
01/02/2024,20.74,1321260,20.3,20.81,20.1,0.077,0.114
06/02/2024,21.6,1795597,21.8,22.04,21.302,0.096,0.117
07/02/2024,21.84,2015226,21.58,21.93,21.27,0.099,0.109
09/02/2024,24.26,4431934,24.15,24.9614,23.7755,0.078,0.095
14/02/2024,23.54,8235789,23.48,23.68,22.7,0.079,0.092
15/02/2024,16.34,23822610,18.07,18.42,16.26,0.017,0.081
16/02/2024,15.8,13374470,16.09,16.339,15.36,-0.005,0.07
28/02/2024,14.12,3951118,14,14.52,13.92,0.055,0.046
15/03/2024,12.6,6119778,12.66,12.81,12.505,0.08,0.046
19/03/2024,12.77,2660201,12.62,12.855,12.4,0,0.035
22/03/2024,12.75,3234033,12.88,13.105,12.54,0.081,0.044
25/03/2024,12.73,1945131,12.74,12.97,12.715,-0.023,0.053
02/04/2024,12.94,3143135,12.67,12.985,12.6,0.045,0.053
03/04/2024,12.7,2485385,12.75,12.935,12.63,0.121,0.059
10/04/2024,13.86,3488623,13.45,13.91,13.35,0.136,0.075
24/04/2024,12.83,3501248,13,13.14,12.54,0.09,0.068
25/04/2024,12.4,4050432,12.35,12.5,12.07,0.086,0.084
29/04/2024,12.97,2928048,13,13.24,12.89,0.102,0.091
30/04/2024,12.65,3265373,12.75,12.86,12.56,0.097,0.098
01/05/2024,12.93,7990191,12.73,13.355,12.58,0.065,0.09
02/05/2024,8.79,28463740,8.15,8.81,7.83,0.053,0.09
03/05/2024,8.48,9888475,8.97,9,8.335,-0.029,0.066
06/05/2024,8.78,6650150,8.51,8.99,8.43,0.139,0.073
14/05/2024,9.07,5088502,8.8,9.385,8.8,0.082,0.073
28/05/2024,8.29,2312965,8.52,8.58,8.25,0.122,0.076
31/05/2024,7.84,2971315,7.94,8.0411,7.815,0.075,0.072
11/06/2024,7.4,2721588,7.45,7.52,7.32,0.162,0.086
13/06/2024,7.27,3665161,7.47,7.51,7.15,0.079,0.09
08/07/2024,7.37,1498314,7.49,7.505,7.34,0.055,0.088
10/07/2024,7.13,2322704,7.37,7.37,7.04,0.122,0.094
15/07/2024,7.59,2798770,7.55,7.75,7.48,0.119,0.094
